OBJECTID,GlobalID,CreationDate,Creator,EditDate,Editor,Notes,Tissue_Sample,Hind_Limb_Length,Foot_Width,Wrist_Width,Forelimb_Length_Nail_to_Elbow,Bolea_Head_Width,Maxillary_Head_Width,Head_Length,Finger_Length,Hand_Width,Ear_Length_Notch,Toe_Length,Foot_Length,Tail_Length,Body_Length,Reproductive_Stage,Sex,Life_Stage,Weight_Animal_Only,Weight_Bag_Animal,Species,Genus,Tag,YN_Recapture,YN_Animal,LOC,DT,esrignss_speed,esrignss_direction,esrisnsr_azimuth,esrignss_positionsourcetype,esrignss_receiver,esrignss_h_rms,esrignss_v_rms,esrignss_latitude,esrignss_longitude,esrignss_altitude,esrignss_pdop,esrignss_hdop,esrignss_vdop,esrignss_fixtype,esrignss_correctionage,esrignss_stationid,esrignss_numsats,esrignss_fixdatetime,esrignss_avg_h_rms,esrignss_avg_v_rms,esrignss_avg_positions,esrignss_h_stddev,NOTES,Foot_mm,Subspecies_Code,Species_Code,Tripped_Trap_y_n,Bait_Stolen_y_n,Recap_y_n,Animal_y_n,date_time,KRAT_Forelimb_Width_mm
11,{84E3AF01-2928-4DB9-9E8A-2E009078CE20},2025-11-22T16:10:42Z,jotmille_UCSC,2026-01-29T18:58:54Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dipodomys venustus,Di,817,No,Yes,Hastings,2025-11-22T16:10:43Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,{F6E87A2A-7465-428C-8629-E4B3F107653E},2025-11-22T18:08:26Z,jotmille_UCSC,2026-01-29T18:59:01Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dipodomys venustus,NA,108,No,No,Hastings,2025-11-22T18:08:30Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,{1681CE0C-B97C-4369-AD48-EE42477A4DFC},2025-11-23T16:08:04Z,jotmille_UCSC,2026-01-29T18:58:57Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dipodomys venustus,Di,127,Yes,No,Hastings,2025-11-23T16:08:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,{FEC6A137-9C0F-4E5E-BA9C-3299EB4B75E6},2025-11-23T16:32:24Z,jotmille_UCSC,2026-01-29T18:59:04Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dipodomys venustus,Di,817,Yes,No,Hastings,2025-11-23T16:32:26Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,{F90E1EA1-1579-4A8A-8D5B-4B46C0A42944},2025-11-23T17:48:25Z,jotmille_UCSC,2026-01-29T18:59:08Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Non-Reproductive,Female,NA,NA,NA,Dipodomys venustus,Di,108,Yes,No,Hastings,2025-11-23T17:48:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,{36898FCB-FE74-4BDA-831E-2F5B0A13235B},2025-11-23T17:58:17Z,jotmille_UCSC,2026-01-29T18:59:10Z,jotmille_UCSC,NA,RC202585,50.11,5.6,3.24,35.74,23.63,17.24,43.4,9,6,16,15,44,209,98,Non-Reproductive,Female,NA,NA,86,Dipodomys venustus,Di,B130,No,No,Hastings,2025-11-23T17:58:25Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,{DC67F73F-FF2D-4C80-B6EF-149E1AB3441C},2025-11-23T18:08:03Z,jotmille_UCSC,2026-01-29T18:59:24Z,jotmille_UCSC,Missing 2 fingers on right foot,RC202586,47.06,5.24,3.34,36.72,23.17,20.65,44.37,10,7,19,15,45,214,120,Reproductive,Female,Adult,NA,105,Dipodomys venustus,Di,131,No,No,Hastings,2025-11-23T18:08:16Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,{72A08C16-55C7-4D4D-81EA-71F5DD16A676},2026-01-17T18:29:37Z,jotmille_UCSC,2026-01-29T18:59:26Z,jotmille_UCSC,NA,NA,47.85,5.41,3.49,34.29,17.29,21.13,49.85,8,7,18,15,44,219,115,NA,Female,NA,81,93,Dipodomys venustus,DI,825,No,No,Hastings,2026-01-17T18:38:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,{AB1CCF14-4672-4ED0-BEA4-C47F8FFB9790},2026-01-17T18:53:57Z,jotmille_UCSC,2026-01-29T18:59:28Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,NA,NA,NA,Dipodomys venustus,DI,817,Yes,No,Hastings,2026-01-17T18:54:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,{A6D7521A-2861-4ED1-8716-F37CA38D878F},2026-01-18T17:45:13Z,jotmille_UCSC,2026-01-29T18:59:32Z,jotmille_UCSC,"Only a few ticks, sub adult.",RC2025-82,47.67,5.53,3.14,35.72,24.1,19.58,47.9,11,7,16,14,42,200,104,Non-Reproductive,Female,Adult,76,100,Dipodomys venustus,DI,844,No,No,Hastings,2026-01-18T17:45:23Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,{2A04C811-CB77-4AF0-A81C-127BE3E8F4D9},2026-01-18T18:11:01Z,jotmille_UCSC,2026-01-29T18:59:47Z,jotmille_UCSC,A few baby ticks on genitals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,NA,NA,NA,Dipodomys venustus,NA,825,Yes,No,Hastings,2026-01-18T18:11:02Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,{DB92A363-533F-4BE3-A07C-36EAD41EBFCE},2026-01-18T18:20:31Z,jotmille_UCSC,2026-01-29T18:59:48Z,jotmille_UCSC,Ticks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,NA,NA,100,Dipodomys venustus,NA,948,Yes,No,Hastings,2026-01-18T18:20:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,{781DC6FE-1400-4F60-8D90-CACDFC2281AC},2026-01-18T17:01:55Z,jotmille_UCSC,2026-01-29T18:59:50Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,NA,NA,NA,Dipodomys venustus,NA,131,No,No,Hastings,2026-01-18T17:08:59Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,{8BC70FBB-9445-4B1E-97A8-1FA29F27B14E},2026-01-18T18:28:12Z,jotmille_UCSC,2026-01-29T18:59:52Z,jotmille_UCSC,"Tick larvae on genitals, tail chopped off and found in a different trap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,NA,Female,Adult,57,87,Dipodomys venustus,DI,817,Yes,No,Hastings,2026-01-18T18:28:13Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,{FEB74BF2-0B74-42AD-B6D5-9F09D9F4F6B8},2025-06-22T13:16:28Z,jotmille_UCSC,2026-01-29T19:07:27Z,jotmille_UCSC,NA,NA,NA,NA,1.86,NA,NA,37.73,45.35,NA,NA,18,NA,NA,230,108,NA,NA,NA,83,NA,Dipodomys venustus,Di,NA,NA,NA,Hastings,NA,0.01021108663043755,116.8659357545387,71.75609588623047,2,iPhone 15 Pro Max,4.74865153025832,4.487087438102936,36.38159445016123,-121.5428961424813,591.2760723438114,NA,NA,NA,NA,NA,NA,NA,2025-06-22T13:08:03Z,NA,NA,NA,NA,Released before tagging,48,NA,NA,NA,NA,NA,yes,2025-06-22T13:08:06Z,1
6,{C49E51CE-1C75-4A5F-8528-AF20F7F4AE0E},2025-06-22T13:32:05Z,jotmille_UCSC,2026-01-29T19:07:27Z,jotmille_UCSC,Forelomb length 32.02,NA,NA,NA,2.33,NA,NA,28.58,45.44,NA,NA,19,NA,NA,249,103,Unknown,Female,Adult,NA,NA,Dipodomys venustus,Di,748,NA,NA,Hastings,NA,0,205.7792880714765,15.5155086517334,2,iPhone 15 Pro Max,4.748651530191761,4.817027213502873,36.38172758801286,-121.5429777995105,593.1015183320269,NA,NA,NA,NA,NA,NA,NA,2025-06-22T13:18:26Z,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,2025-06-22T13:20:10Z,NA
8,{A88CF80E-8AE9-4F14-9A3D-3A058082F354},2025-06-22T14:18:18Z,jotmille_UCSC,2026-01-29T19:11:19Z,jotmille_UCSC,Forelimb 34 l,NA,NA,NA,2.3,NA,NA,31.27,45.93,NA,NA,20,NA,NA,222,97,Unknown,Female,NA,95,NA,Dipodomys venustus,Di,102,NA,NA,Hastings,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,2025-06-22T14:03:35Z,NA
9,{5890F4A3-D106-4FD9-A82F-112A53FF3672},2025-06-22T14:40:30Z,jotmille_UCSC,2026-01-29T19:11:17Z,jotmille_UCSC,Forelimb l 36.83 released before tagging and prints,NA,NA,NA,2.95,NA,NA,32.64,47.06,NA,7,19,NA,NA,176,105,Unknown,Female,NA,NA,NA,Dipodomys venustus,Di,Not tagged,NA,NA,Hastings,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,2025-06-22T14:33:09Z,NA
74,{C20A9398-35A6-48E9-AE2A-2DFFF20CA52D},2025-06-22T16:50:27Z,jotmille_UCSC,2026-01-29T19:07:27Z,jotmille_UCSC,34.60,NA,NA,NA,3.58,NA,NA,30.6,41.76,NA,7,17,NA,NA,178,88,NA,Female,Adult,NA,NA,Dipodomys venustus,Di,108,NA,NA,Hastings,NA,0,164.1805644357423,30.82740211486816,2,iPhone 15 Pro Max,4.748651530191761,4.314171434602757,36.38459357026601,-121.5493462510923,562.4488804340363,NA,NA,NA,NA,NA,NA,NA,2025-06-22T16:39:31Z,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,2025-06-22T16:39:34Z,NA
79,{10BF9F13-01B5-49BB-B553-A68EFAD124FE},2025-07-12T15:31:38Z,jotmille_UCSC,2025-07-13T19:40:46Z,jotmille_UCSC,Tissue 17,NA,48,NA,3.37,NA,NA,34.5,42,9,8,16,13,NA,185,101,NA,Female,Adult,65,NA,Dipodomys heermanni,Di,101,NA,NA,FONR,NA,0,NA,338.6339111328125,2,iPhone 15 Pro Max,8.751679597767932,6.687610997323342,36.68743170695581,-121.7795967950974,35.55832317750901,NA,NA,NA,NA,NA,NA,NA,2025-07-12T15:18:24Z,NA,NA,NA,NA,NA,42,NA,He,NA,NA,NA,NA,2025-07-12T15:18:27Z,NA
85,{16E7C340-4355-4874-8791-F7EF2761148F},2025-07-12T16:14:24Z,jotmille_UCSC,2025-07-13T19:40:40Z,jotmille_UCSC,Tissue 15,NA,46.68,NA,3.23,NA,NA,32.22,43.35,7,8,14,NA,NA,197,96,NA,Female,Adult,75,NA,Dipodomys heermanni,Di,110,NA,NA,FONR,NA,0.3145843507043788,15.09252885150295,320.0762329101562,2,iPhone 15 Pro Max,4.87915346547065,3.813497308935676,36.6783160950658,-121.767693887495,39.35239499807358,NA,NA,NA,NA,NA,NA,NA,2025-07-12T16:12:24Z,NA,NA,NA,NA,NA,40,NA,He,NA,NA,NA,NA,2025-07-12T16:04:41Z,NA
93,{76E00EAD-2023-4012-B853-FFA25979B897},2025-07-12T17:16:45Z,jotmille_UCSC,2025-07-12T17:16:45Z,jotmille_UCSC,Tissue 16,NA,48,NA,3.13,NA,NA,29.56,43.66,8,6,15,12,NA,200,99,Unknown,Male,NA,66,NA,Dipodomys heermanni,Di,103,NA,NA,FONR,NA,0,176.6954962465956,359.8787536621094,2,iPhone 15 Pro Max,6.20232750840216,4.841329234578986,36.66717448403249,-121.7661910349067,43.9180818842724,NA,NA,NA,NA,NA,NA,NA,2025-07-12T17:08:44Z,NA,NA,NA,NA,NA,43,NA,He,NA,NA,NA,NA,2025-07-12T17:08:45Z,NA
97,{334CEBBF-60A1-411A-9C22-4DA9081D7352},2025-07-12T17:45:37Z,jotmille_UCSC,2025-07-13T19:40:22Z,jotmille_UCSC,Tissue 9,NA,44.84,NA,3.14,NA,NA,27.07,NA,8.5,6,16,12,NA,188,118,Lactating,Female,Adult,82,NA,Dipodomys heermanni,Di,109,NA,NA,FONR,NA,0,65.9356043495699,217.6851959228516,2,iPhone 15 Pro Max,6.642786320608371,5.952872322255056,36.66295344328213,-121.7529567346325,47.54577584471554,NA,NA,NA,NA,NA,NA,NA,2025-07-12T17:33:18Z,NA,NA,NA,NA,NA,42,NA,He,NA,NA,NA,NA,2025-07-12T17:33:18Z,NA
99,{C2335301-C703-461F-B05F-E33666370ADE},2025-07-12T18:05:12Z,jotmille_UCSC,2025-07-13T19:49:39Z,jotmille_UCSC,Tissue sample 5,NA,48.07,NA,3.08,NA,NA,31.01,39.77,8,6,15,14,39,182,110,Reproductive,Male,Adult,79,NA,Dipodomys heermanni,Di,407,NA,NA,FONR,NA,0,294.8392080146547,250.0940856933594,2,iPad mini 6,3.61014928118684,3.14341938914341,36.66260613394979,-121.7528231708857,47.22095060348511,NA,NA,NA,NA,NA,NA,NA,2025-07-12T17:49:01Z,NA,NA,NA,NA,Part of ear missing,39,NA,HE,no,no,yes,yes,2025-07-12T17:50:15Z,NA
100,{196AB800-A8A8-4B37-8678-00BB397A9503},2025-07-12T18:14:49Z,jotmille_UCSC,2025-07-13T19:49:32Z,jotmille_UCSC,Tissue sample 10,NA,45.45,NA,30.37,NA,NA,30.23,40.51,9,7,125,14,NA,184,98,Not Reproductive,Female,Adult,68,NA,Dipodomys heermanni,Di,12,NA,NA,FONR,NA,0,56.75289538033802,266.8168029785156,2,iPad mini 6,6.482766919223241,5.548620629620924,36.6628205711277,-121.7529705770998,47.36236260272563,NA,NA,NA,NA,NA,NA,NA,2025-07-12T18:06:46Z,NA,NA,NA,NA,NA,48,NA,HE,no,no,no,yes,2025-07-12T18:07:12Z,NA
101,{6F0F6D7F-602B-4E6F-AA6E-FF766631715D},2025-07-13T15:14:24Z,jotmille_UCSC,2025-07-13T15:14:24Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dipodomys heermanni,Di,NA,NA,NA,FONR,NA,0.5048019826412201,NA,241.1145629882812,2,iPhone 15 Pro Max,6.23194185382867,3,36.6663062004607,-121.765587925861,48.5571799483286,NA,NA,NA,NA,NA,NA,NA,2025-07-13T15:13:51Z,NA,NA,NA,NA,Let go before data collection,NA,NA,He,NA,NA,NA,NA,2025-07-13T15:13:52Z,NA
110,{D057E7A0-9BBE-4702-8D7D-A30BA7E35088},2025-07-13T17:13:51Z,jotmille_UCSC,2025-07-22T04:47:27Z,rmcrowle@ucsc.edu_UCSC,Tissue 18,NA,43.84,NA,3,NA,NA,26.57,42.27,8,7,17,17,NA,200,97,NA,Female,Adult,70,NA,Dipodomys heermanni,Di,106,NA,NA,FONR,NA,0.6334396541118622,NA,69.8569107055664,2,iPhone 15 Pro Max,6.03575042362729,3,36.6779561963803,-121.7677343546871,36.33817309864219,NA,NA,NA,NA,NA,NA,NA,2025-07-13T17:05:24Z,NA,NA,NA,NA,NA,39,NA,He,NA,NA,NA,NA,2025-07-13T17:06:29Z,NA
111,{495AC32D-A469-4AB6-8807-42D0445377FB},2025-07-13T17:45:09Z,jotmille_UCSC,2025-07-13T19:39:17Z,jotmille_UCSC,Tissue 1,NA,46.85,NA,3.16,NA,NA,26.2,44.78,8,7,15,14,NA,196,105,NA,Female,Adult,77,NA,Dipodomys heermanni,Di,124,NA,NA,FONR,NA,0.02617402151226997,274.672478404497,93.26949310302734,2,iPhone 15 Pro Max,4.74865153019176,8.513213312957847,36.68769905557998,-121.7803546757064,36.22445653565228,NA,NA,NA,NA,NA,NA,NA,2025-07-13T17:36:53Z,NA,NA,NA,NA,NA,40,NA,He,NA,NA,NA,NA,2025-07-13T17:36:55Z,NA
119,{2FD6F21D-BAD6-4DAB-8C82-679B58CE154E},2025-07-13T15:55:16Z,fonr_intern_UCSC,2025-07-13T19:49:25Z,jotmille_UCSC,Tissue 4,NA,46.17,NA,2.68,NA,NA,28.65,43.87,8,8,17,15,NA,189,96,Reproductive,Female,Adult,85,NA,Dipodomys heermanni,Di,112,NA,NA,FONR,NA,0,NA,138.3474731445312,2,iPad mini 6,4.748651530191761,4.029364438188556,36.66330780837386,-121.7534648628177,47.33259584661573,NA,NA,NA,NA,NA,NA,NA,2025-07-13T15:41:42Z,NA,NA,NA,NA,NA,45,NA,HE,no,no,no,yes,2025-07-13T15:41:44Z,NA
120,{09964AF5-0BEA-44F6-B7D8-3841FAC75F16},2025-07-13T16:01:06Z,fonr_intern_UCSC,2025-07-13T19:49:52Z,jotmille_UCSC,Tissue 8,NA,48.91,NA,3.84,NA,NA,26.47,41.02,8,7,17,13,NA,206,114,Not Reproductive,Male,Adult,75,NA,Dipodomys heermanni,Di,113,NA,NA,FONR,NA,0.09339931136663274,NA,327.4072875976562,2,iPad mini 6,5.165330038992426,4.07186683418829,36.66300672431274,-121.7531358728006,50.01094058714807,NA,NA,NA,NA,NA,NA,NA,2025-07-13T15:55:22Z,NA,NA,NA,NA,NA,41,NA,HE,no,no,no,yes,2025-07-13T15:55:25Z,NA
121,{F1100A79-8394-483B-8095-250519A2B38E},2025-07-13T16:15:48Z,fonr_intern_UCSC,2025-07-13T19:49:58Z,jotmille_UCSC,Tissue 3,NA,45.12,NA,3.67,NA,NA,34.51,45.44,8,6,16,8,NA,207,110,Lactating,Female,Adult,85,NA,Dipodomys heermanni,Di,114,NA,NA,FONR,NA,0.05089250071151946,NA,319.2681274414062,2,iPad mini 6,4.6604916222173864,3.183354480232956,36.66300317382354,-121.7531323969342,50.23476174473763,NA,NA,NA,NA,NA,NA,NA,2025-07-13T16:05:32Z,NA,NA,NA,NA,NA,41,NA,HE,NA,no,no,yes,2025-07-13T16:05:41Z,NA
135,{915BB543-8BDE-4434-8FB6-ABC990AB20B6},2025-09-28T15:09:04Z,jotmille_UCSC,2025-09-28T15:09:04Z,jotmille_UCSC,Let go on accident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,191,105,NA,NA,NA,77,NA,Dipodomys heermanni,Di,NA,NA,NA,FONR,NA,2.07356858253479,173.3584246826845,53.37464904785156,2,iPhone 15 Pro Max,3.293720064025265,3,36.68559358077792,-121.775950375507,41.03301492709716,NA,NA,NA,NA,NA,NA,NA,2025-09-28T14:57:07Z,NA,NA,NA,NA,NA,NA,NA,He,NA,NA,NA,yes,2025-09-28T14:57:10Z,NA
