OBJECTID,GlobalID,CreationDate,Creator,Tissue_Sample,Hind_Limb_Length,Foot_Width,Wrist_Width,Forelimb_Length,Bolea_Head_Width,Maxillary_Head_Width,Head_Length,Finger_Length,Hand_Width,Ear_Length,Toe_Length,Foot_Length,Tail_Length,Body_Length,Reproductive_Stage,Sex,Life_Stage,Weight_Animal_Only,Weight_Bag_Animal,Species,Genus,Tag,YN_Recapture,Location,Date,Latitude,Longitude,notes
120,{09964AF5-0BEA-44F6-B7D8-3841FAC75F16},2025-07-13T16:01:06Z,fonr_intern_UCSC,RC2025-08,48.91,NA,3.84,31.19,NA,26.47,41.02,8,7,17,13,41,206,114,Not Reproductive,Male,Adult,75,NA,Dipodomys heermanni,Di,113,no,FONR,2025-07-13T15:55:25Z,36.66300672431274,-121.7531359,Tissue 8 NA
121,{F1100A79-8394-483B-8095-250519A2B38E},2025-07-13T16:15:48Z,fonr_intern_UCSC,RC2025-03,45.12,NA,3.67,28.33,NA,34.51,45.44,8,6,16,8,41,207,110,Lactating,Female,Adult,85,NA,Dipodomys heermanni,Di,114,no,FONR,2025-07-13T16:05:41Z,36.66300317382354,-121.7531324,Tissue 3 NA
135,{915BB543-8BDE-4434-8FB6-ABC990AB20B6},2025-09-28T15:09:04Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,191,105,NA,NA,NA,77,NA,Dipodomys heermanni,Di,NA,NA,FONR,2025-09-28T14:57:10Z,36.68559358077792,-121.7759504,Let go on accident NA
136,{0DC47928-75E9-412F-9E46-B45E2161492D},2025-09-28T15:18:34Z,jotmille_UCSC, RC2025-21,47.52,4.76,2.6,30.84,19.62,27.54,42.95,6,6,16,9,41,195,106,NA,NA,NA,NA,NA,Dipodomys heermanni,Di,123,NA,FONR,2025-09-28T15:09:23Z,NA,NA,2nd head width 19.62 tissue # RC2025-21 Forelimb length 30.84
142,{42EEBEAE-9B89-4ED0-9180-EA58D503090A},2025-09-28T16:41:05Z,jotmille_UCSC,RC2025-27,47.36,5.13,2.68,32.38,17.93,26.5,44.2,8,7,16,15,40,196,100,Reproductive,Female,Adult,77,NA,Dipodomys heermanni,Di,121,no,FONR,2025-09-28T16:28:34Z,36.68749936277649,-121.7805275,"Head width 2: 17.93
Forelimb length: 32.38
Vial: RC2025-27 Tissue NA"
147,{AFB84D82-EE41-4BA0-91A3-279B999B40F5},2025-10-18T14:22:00Z,rmcrowle@ucsc.edu_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,42,199,106,NA,NA,Adult,80,NA,Dipodomys heermanni,Di,718,yes,FONR,2025-10-18T14:16:40Z,36.6855436,-121.7759445,NA NA
153,{396C14E3-E92E-4903-8A8E-6ABA33E006EC},2025-10-18T14:38:59Z,rmcrowle@ucsc.edu_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dipodomys heermanni,Di,123,yes,FONR,2025-10-18T14:37:41Z,36.68595688333333,-121.7756733,NA NA
155,{C0D1B3B4-432C-41EC-8C49-174B5806A752},2025-10-18T15:19:15Z,rmcrowle@ucsc.edu_UCSC,"RC2025-06
",NA,5.46,3.98,35.68,18.7,25.56,44.01,9,7,16,15,43,203,110,Not Reproductive,Female,Adult,69,NA,Dipodomys heermanni,Di,120,no,FONR,2025-10-18T15:07:05Z,36.66313093333333,-121.7534262,"Forelimb length: 35.68
Head Width pm: 25.56
Tissue sample: 6
Nose bleeding NA"
156,{C89EDF0C-171A-4089-BA7C-E7B634E789E2},2025-10-18T15:34:47Z,rmcrowle@ucsc.edu_UCSC,RC2025-01,48.51,4.78,3.01,37.76,18.28,26.05,36.11,7,6,16,13,38,180,107,Unknown,Male,Adult,70,NA,Dipodomys heermanni,Di,407,yes,FONR,2025-10-18T15:21:48Z,36.66312946666667,-121.7533687,"Missing 1 toe on front right hand
Forelimb length: 37.76mm
Head Width B: 18.28mm
Head Width pm: 26.05mm
Tissue #: 1 NA"
161,{526E9DB6-9478-4173-8C63-96C6660DD3D9},2025-10-18T16:04:38Z,rmcrowle@ucsc.edu_UCSC,NA,47.56,4.85,2.5,32.97,23.48,22.74,41.49,8,7,17,15,42,199,110,Reproductive,Female,Adult,63,NA,Dipodomys heermanni,Di,115,no,FONR,2025-10-18T15:52:51Z,36.66267143333333,-121.7528716,"Forelimb length: 32.97mm
Head Width pm: 22.74
Head Width b: 23.48
 NA"
162,{8811F861-4BFE-492A-9032-F86B7FA72746},2025-10-18T16:13:51Z,rmcrowle@ucsc.edu_UCSC,RC2025-11,46.05,4.93,2.56,28.32,23.68,25.93,43.72,8,7,17,15,42,197,98,NA,NA,NA,64,NA,Dipodomys heermanni,Di,119,no,FONR,2025-10-18T16:09:06Z,36.66259986666667,-121.7528449,"Head Width pm: 25.93mm
Head Width b: 23.68mm
Forelimb length: 28.32mm
Sample #: 11 NA"
164,{EB3440E3-55CA-43C1-9E35-9259CD5ABEAF},2025-10-18T16:31:20Z,rmcrowle@ucsc.edu_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,44,188,115,NA,NA,NA,NA,NA,Dipodomys heermanni,Di,111,yes,FONR,2025-10-18T16:28:10Z,36.66637428333333,-121.7656266,NA NA
165,{BBD6D5CC-8CDE-41DF-80A9-E1A5D63D0BD0},2025-10-18T16:50:15Z,rmcrowle@ucsc.edu_UCSC,"RC2025-20
",47.5,4.83,3.52,NA,21.99,15.82,41.65,8,7,18,14,41,202,110,Unknown,Female,Adult,67,NA,Dipodomys heermanni,Di,118,no,FONR,2025-10-18T16:37:22Z,36.66633936666667,-121.7655512,"Sample: 20
Forelimb length: 33.53
Head Width b: 21.99
Extra finger/claw on front and hind limbs
Black facial marks contiguous/continuous
Head seemed narrower than usual NA"
167,{5EABB43D-2206-4ACC-98A1-C9F1FB3B79B2},2025-10-18T17:05:11Z,rmcrowle@ucsc.edu_UCSC,"RC2025-25
",48.45,4.63,3.2,33.68,NA,NA,44.2,8,7,16,14,44,194,103,NA,Female,Adult,71,NA,Dipodomys heermanni,Di,117,no,FONR,2025-10-18T16:56:11Z,36.66723401666666,-121.7661409,"Forelimb length: 33.68mm
Head Width pm: 23.82mm
Head Width b: 23.04mm
Sample #: 25
Very strong light patches above eye
Black tail had two black strips NA"
168,{8BA7AB7E-F1E5-475A-B0A1-65B73EF5C0DB},2025-10-18T17:27:30Z,rmcrowle@ucsc.edu_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adult,NA,NA,Dipodomys heermanni,Di,122,yes,FONR,2025-10-18T17:27:01Z,36.68751131666667,-121.7796006,NA NA
170,{40B82B91-8F47-4644-8900-8FFDED046EE3},2025-10-18T17:44:25Z,rmcrowle@ucsc.edu_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dipodomys heermanni,Di,121,yes,FONR,2025-10-18T17:40:56Z,36.68752484973338,-121.7802866,NA NA
173,{FD2D5FE8-BDCB-4492-855D-13D48BE32D10},2025-10-18T18:11:02Z,rmcrowle@ucsc.edu_UCSC,NA,44.36,4.99,2.83,34.99,20.49,24.68,42.67,8,6,15,13,40,204,104,Not Reproductive,Female,Adult,66,NA,Dipodomys heermanni,Di,116,no,FONR,2025-10-18T17:59:17Z,36.68751021384634,-121.7802881,"Forelimb length: 34.99mm
Head width pm: 24.68
Head width b: 20.49
Sample ran away NA"
176,{E351002D-7BFA-4018-9761-38A378B9B1A2},2025-10-19T14:35:52Z,jotmille_UCSC,RC2025-19,43.05,5.2,2.61,NA,19.6,16.88,41.97,7,7,16,13,41,190,106,NA,NA,Adult,65,NA,Dipodomys heermanni,Di,992,NA,FONR,2025-10-19T14:28:47Z,36.68744227,-121.7794565,Tissue #19 NA
