OBJECTID,GlobalID,CreationDate,Creator,EditDate,Editor,Notes,Tissue_Sample,Hind_Limb_Length,Foot_Width,Wrist_Width,Forelimb_Length_Nail_to_Elbow,Bolea_Head_Width,Maxillary_Head_Width,Head_Length,Finger_Length,Hand_Width,Ear_Length_Notch,Toe_Length,Foot_Length,Tail_Length,Body_Length,Reproductive_Stage,Sex,Life_Stage,Weight_Animal_Only,Weight_Bag_Animal,Species,Genus,Tag,YN_Recapture,YN_Animal,LOC,DT,esrignss_speed,esrignss_direction,esrisnsr_azimuth,esrignss_positionsourcetype,esrignss_receiver,esrignss_h_rms,esrignss_v_rms,esrignss_latitude,esrignss_longitude,esrignss_altitude,esrignss_pdop,esrignss_hdop,esrignss_vdop,esrignss_fixtype,esrignss_correctionage,esrignss_stationid,esrignss_numsats,esrignss_fixdatetime,esrignss_avg_h_rms,esrignss_avg_v_rms,esrignss_avg_positions,esrignss_h_stddev,NOTES,Foot_mm,Subspecies_Code,Species_Code,Tripped_Trap_y_n,Bait_Stolen_y_n,Recap_y_n,Animal_y_n,date_time,KRAT_Forelimb_Width_mm,esrignss_orthometric_height,esrignss_correction_source_type,esrignss_correction_source_name,esrignss_ntrip_mount_point,esrignss_antenna_height,esrignss_receiver_gcs,esrignss_receiver_gcs_wkid,esrignss_receiver_ref_epoch,esrignss_profile_has_hor_xform,esrignss_profile_hor_xform,esrignss_receiver_geoid,esrignss_h_95_status,esrignss_custom_attributes,Date_and_time,Weight_bag_only,Teeth
11,{84E3AF01-2928-4DB9-9E8A-2E009078CE20},2025-11-22T16:10:42Z,jotmille_UCSC,2026-01-29T19:08:41Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Di,817,No,Yes,Hastings,2025-11-22T16:10:43Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,{F6E87A2A-7465-428C-8629-E4B3F107653E},2025-11-22T18:08:26Z,jotmille_UCSC,2026-01-29T19:08:41Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,No,No,Hastings,2025-11-22T18:08:30Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,{1681CE0C-B97C-4369-AD48-EE42477A4DFC},2025-11-23T16:08:04Z,jotmille_UCSC,2026-01-29T19:08:41Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,He,Di,127,Yes,No,Hastings,2025-11-23T16:08:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,{FEC6A137-9C0F-4E5E-BA9C-3299EB4B75E6},2025-11-23T16:32:24Z,jotmille_UCSC,2026-01-29T19:08:41Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,He,Di,817,Yes,No,Hastings,2025-11-23T16:32:26Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,{F90E1EA1-1579-4A8A-8D5B-4B46C0A42944},2025-11-23T17:48:25Z,jotmille_UCSC,2026-01-29T19:08:41Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Non-Reproductive,Female,NA,NA,NA,Vi,Di,108,Yes,No,Hastings,2025-11-23T17:48:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,{36898FCB-FE74-4BDA-831E-2F5B0A13235B},2025-11-23T17:58:17Z,jotmille_UCSC,2026-01-29T19:08:41Z,jotmille_UCSC,NA,RC202585,50.11,5.60,3.24,35.74,23.63,17.24,43.40,9,6,16,15,44,209,98,Non-Reproductive,Female,NA,NA,86,NA,Di,B130,No,No,Hastings,2025-11-23T17:58:25Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,{DC67F73F-FF2D-4C80-B6EF-149E1AB3441C},2025-11-23T18:08:03Z,jotmille_UCSC,2026-01-29T19:08:41Z,jotmille_UCSC,Missing 2 fingers on right foot,RC202586,47.06,5.24,3.34,36.72,23.17,20.65,44.37,10,7,19,15,45,214,120,Reproductive,Female,Adult,NA,105,Vi,Di,131,No,No,Hastings,2025-11-23T18:08:16Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,{72A08C16-55C7-4D4D-81EA-71F5DD16A676},2026-01-17T18:29:37Z,jotmille_UCSC,2026-01-29T19:08:41Z,jotmille_UCSC,NA,NA,47.85,5.41,3.49,34.29,17.29,21.13,49.85,8,7,18,15,44,219,115,NA,Female,NA,81,93,VE,DI,825,No,No,Hastings,2026-01-17T18:38:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,{AB1CCF14-4672-4ED0-BEA4-C47F8FFB9790},2026-01-17T18:53:57Z,jotmille_UCSC,2026-01-29T19:08:41Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,NA,NA,NA,VE,DI,817,Yes,No,Hastings,2026-01-17T18:54:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,{A6D7521A-2861-4ED1-8716-F37CA38D878F},2026-01-18T17:45:13Z,jotmille_UCSC,2026-01-29T19:08:41Z,jotmille_UCSC,"Only a few ticks, sub adult.",RC2025-82,47.67,5.53,3.14,35.72,24.1,19.58,47.90,11,7,16,14,42,200,104,Non-Reproductive,Female,Adult,76,100,VE,DI,844,No,No,Hastings,2026-01-18T17:45:23Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,{2A04C811-CB77-4AF0-A81C-127BE3E8F4D9},2026-01-18T18:11:01Z,jotmille_UCSC,2026-01-29T19:08:41Z,jotmille_UCSC,A few baby ticks on genitals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,NA,NA,NA,NA,NA,825,Yes,No,Hastings,2026-01-18T18:11:02Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,{DB92A363-533F-4BE3-A07C-36EAD41EBFCE},2026-01-18T18:20:31Z,jotmille_UCSC,2026-01-29T19:08:41Z,jotmille_UCSC,Ticks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,NA,NA,100,NA,NA,948,Yes,No,Hastings,2026-01-18T18:20:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,{781DC6FE-1400-4F60-8D90-CACDFC2281AC},2026-01-18T17:01:55Z,jotmille_UCSC,2026-01-29T19:08:41Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,NA,NA,NA,NA,NA,131,No,No,Hastings,2026-01-18T17:08:59Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,{8BC70FBB-9445-4B1E-97A8-1FA29F27B14E},2026-01-18T18:28:12Z,jotmille_UCSC,2026-01-29T19:08:41Z,jotmille_UCSC,"Tick larvae on genitals, tail chopped off and found in a different trap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,NA,Female,Adult,57,87,VE,DI,817,Yes,No,Hastings,2026-01-18T18:28:13Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,{F3593927-2B4C-4CDD-88BF-26AB179AB8E2},2026-02-07T16:24:44Z,rmcrowle@ucsc.edu_UCSC,2026-02-07T16:24:44Z,rmcrowle@ucsc.edu_UCSC,NA,NA,45.85,5.35,3.36,24.86,23.6,24.52,43.5,8,6,15,10,38,192,101,NA,Female,Adult,NA,95,HE,DI,718,No,No,NA,2026-02-07T16:17:12Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,{8881CBCE-F840-42A2-ADC7-77F225FC7469},2026-02-07T17:50:49Z,rmcrowle@ucsc.edu_UCSC,2026-02-07T17:50:49Z,rmcrowle@ucsc.edu_UCSC,NA,NA,46.35,5.03,3.07,27.96,23.1,23.1,42.02,7,7,17,14,43,200,115,Non-Reproductive,Female,Adult,90,108,HE,DI,821,No,No,NA,2026-02-07T17:44:34Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,{6512AE25-F89E-408B-9916-979E76397C68},2026-02-07T18:00:12Z,rmcrowle@ucsc.edu_UCSC,2026-02-07T18:00:12Z,rmcrowle@ucsc.edu_UCSC,Shaved tail,NA,47.9,5.49,3.18,32.36,20.46,18.66,43.23,8,5,16,8,42,190,108,Reproductive,Male,Adult,74,85,HE,DI,930,Yes,No,NA,2026-02-07T17:53:38Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,{01294F1B-14F8-4D31-96E8-DDBD6F7715CE},2026-02-07T18:12:07Z,rmcrowle@ucsc.edu_UCSC,2026-02-07T18:12:07Z,rmcrowle@ucsc.edu_UCSC,Nose cut,NA,47.61,5.35,2.89,32.69,25.66,25.02,43.6,8,6,15,9,43,212,105,Reproductive,Female,Adult,67,85,He,Di,129,No,No,NA,2026-02-07T18:05:30Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,{DF8EDB51-8D7D-45EE-805C-EDB253469A4E},2026-02-07T16:32:46Z,jotmille_UCSC,2026-02-07T16:32:46Z,jotmille_UCSC,Tail chopped off at the end untagged,NA,45.88,4.49,2.23,34.03,23.28,24.65,39.98,8,7,15,17,43,154,104,Reproductive,Male,NA,NA,85,NA,NA,NA,No,No,NA,2026-02-07T16:32:50Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,{47F0234B-605E-437B-9FBA-310904CDDD09},2026-02-08T16:06:21Z,jotmille_UCSC,2026-03-01T03:57:30Z,jotmille_UCSC,Recap from yesterday,718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,98,HE,DI,NA,Yes,No,NA,2026-02-08T16:06:22Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,{D0922FD7-3B85-4A85-9B72-7213E57847CB},2026-02-08T17:24:01Z,rmcrowle@ucsc.edu_UCSC,2026-02-08T17:24:01Z,rmcrowle@ucsc.edu_UCSC,Nose caught on trap,NA,47.77,5.53,3.14,29.07,21.74,23.19,44.61,7,6,15,14,43,208,107,Non-Reproductive,Female,Adult,60,87,He,Di,829,No,No,NA,2026-02-08T17:16:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,{ABBE6AAF-975F-4374-AA86-A139E40E6B00},2026-04-11T16:12:13Z,jotmille_UCSC,2026-04-11T16:12:13Z,jotmille_UCSC,"Tag ripped out, taken data before, ear holes visible",NA,50.15,6.25,3.32,37.52,24.15,21.71,45.57,8,7,16,16,45,214,116,Non-Reproductive,Female,Adult,NA,110,Ve,Di,843,No,No,NA,2026-04-11T16:12:15Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,{D13FE41B-772E-4C9E-A347-7EFCDC87A5D8},2026-04-11T16:27:19Z,jotmille_UCSC,2026-04-11T16:27:19Z,jotmille_UCSC,NA,NA,48.21,4.78,3.10,35.19,24.91,23.6,46.98,9,7,17,15,45,209,113,Non-Reproductive,Female,Adult,97,110,Ve,Di,825,Yes,No,NA,2026-04-11T16:27:22Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,{AB1330A2-A56C-48E7-BADA-9D9970CF91D7},2026-04-11T17:06:38Z,jotmille_UCSC,2026-04-11T17:06:38Z,jotmille_UCSC,NA,NA,50.59,5.62,3.7,36.72,24.6,21.61,46.28,11,6,19,15,44,240,103,Lactating,Female,Adult,87,100,Ve,Di,948,No,No,NA,2026-04-11T17:06:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,{2D57EB4E-0D4C-43AA-83A1-8573FA457416},2026-04-12T15:43:53Z,jotmille_UCSC,2026-04-12T15:43:53Z,jotmille_UCSC,Tagged before,NA,52.48,4.93,2.99,33.63,22.44,23.05,45.93,9,6,16,15,43,230,103,Non-Reproductive,Female,Adult,88,105,Ve,Di,837,No,No,NA,2026-04-12T15:44:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,{E72E6B21-91D8-420D-9300-779712C913CF},2026-06-23T13:37:48Z,rmcrowle@ucsc.edu_UCSC,2026-06-23T13:45:27Z,rmcrowle@ucsc.edu_UCSC,NA,NA,46.38,5.61,2.99,36.27,24.28,NA,45.61,10,6,19,11,42,226,101,Non-Reproductive,Female,Adult,79,95,Ve,Di,"No tag, ABC for footstamp",No,No,HASTINGS,2026-06-23T13:38:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,{139FEF84-4817-43C9-879A-83F6458EFD94},2026-06-23T13:46:36Z,rmcrowle@ucsc.edu_UCSC,2026-06-23T13:46:36Z,rmcrowle@ucsc.edu_UCSC,NA,NA,51.31,5.86,3.47,36.14,20.41,18.99,48.57,10,6,19,16,45,227,102,Reproductive,Female,Adult,94,110,Ve,Di,839,No,No,HASTINGS,2026-06-23T13:46:38Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
