OBJECTID,GlobalID,CreationDate,Creator,Notes,Tissue_Sample,Hind_Limb_Length,Foot_Width,Wrist_Width,Forelimb_Length,Bolea_Head_Width,Maxillary_Head_Width,Head_Length,Finger_Length,Hand_Width,Ear_Length,Toe_Length,Foot_Length,Tail_Length,Body_Length,Reproductive_Stage,Sex,Life_Stage,Weight_Animal_Only,Weight_Bag_Animal,Species,Genus,Tag,YN_Recapture,YN_Animal,Location,Date,Latitude,Longitude,NOTES,KRAT_Foot_Length_mm,Weight_bag_only
17,{DC67F73F-FF2D-4C80-B6EF-149E1AB3441C},2025-11-23T18:08:03Z,jotmille_UCSC,Missing 2 fingers on right foot,RC202586,47.06,5.24,3.34,36.72,23.17,20.65,44.37,10,7,19,15,45,214,120,Reproductive,Female,Adult,NA,105,Vi,Di,131,No,No,Hastings,2025-11-23T18:08:16Z,NA,NA,NA,NA,NA
18,{72A08C16-55C7-4D4D-81EA-71F5DD16A676},2026-01-17T18:29:37Z,jotmille_UCSC,NA,NA,47.85,5.41,3.49,34.29,17.29,21.13,49.85,8,7,18,15,44,219,115,NA,Female,NA,81,93,VE,DI,825,No,No,Hastings,2026-01-17T18:38:54Z,NA,NA,NA,NA,NA
19,{AB1CCF14-4672-4ED0-BEA4-C47F8FFB9790},2026-01-17T18:53:57Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,NA,NA,NA,VE,DI,817,Yes,No,Hastings,2026-01-17T18:54:11Z,NA,NA,NA,NA,NA
20,{A6D7521A-2861-4ED1-8716-F37CA38D878F},2026-01-18T17:45:13Z,jotmille_UCSC,"Only a few ticks, sub adult.",RC2025-82,47.67,5.53,3.14,35.72,24.1,19.58,47.90,11,7,16,14,42,200,104,Non-Reproductive,Female,Adult,76,100,VE,DI,844,No,No,Hastings,2026-01-18T17:45:23Z,NA,NA,NA,NA,NA
21,{2A04C811-CB77-4AF0-A81C-127BE3E8F4D9},2026-01-18T18:11:01Z,jotmille_UCSC,A few baby ticks on genitals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,NA,NA,NA,NA,NA,825,Yes,No,Hastings,2026-01-18T18:11:02Z,NA,NA,NA,NA,NA
22,{DB92A363-533F-4BE3-A07C-36EAD41EBFCE},2026-01-18T18:20:31Z,jotmille_UCSC,Ticks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,NA,NA,100,NA,NA,948,Yes,No,Hastings,2026-01-18T18:20:32Z,NA,NA,NA,NA,NA
23,{781DC6FE-1400-4F60-8D90-CACDFC2281AC},2026-01-18T17:01:55Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,NA,NA,NA,NA,NA,131,No,No,Hastings,2026-01-18T17:08:59Z,NA,NA,NA,NA,NA
24,{8BC70FBB-9445-4B1E-97A8-1FA29F27B14E},2026-01-18T18:28:12Z,jotmille_UCSC,"Tick larvae on genitals, tail chopped off and found in a different trap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,NA,Female,Adult,57,87,VE,DI,817,Yes,No,Hastings,2026-01-18T18:28:13Z,NA,NA,NA,NA,NA
25,{F3593927-2B4C-4CDD-88BF-26AB179AB8E2},2026-02-07T16:24:44Z,rmcrowle@ucsc.edu_UCSC,NA,NA,45.85,5.35,3.36,24.86,23.6,24.52,43.5,8,6,15,10,38,192,101,NA,Female,Adult,NA,95,HE,DI,718,No,No,NA,2026-02-07T16:17:12Z,NA,NA,NA,NA,NA
26,{8881CBCE-F840-42A2-ADC7-77F225FC7469},2026-02-07T17:50:49Z,rmcrowle@ucsc.edu_UCSC,NA,NA,46.35,5.03,3.07,27.96,23.1,23.1,42.02,7,7,17,14,43,200,115,Non-Reproductive,Female,Adult,90,108,HE,DI,821,No,No,NA,2026-02-07T17:44:34Z,NA,NA,NA,NA,NA
27,{6512AE25-F89E-408B-9916-979E76397C68},2026-02-07T18:00:12Z,rmcrowle@ucsc.edu_UCSC,Shaved tail,NA,47.9,5.49,3.18,32.36,20.46,18.66,43.23,8,5,16,8,42,190,108,Reproductive,Male,Adult,74,85,HE,DI,930,Yes,No,NA,2026-02-07T17:53:38Z,NA,NA,NA,NA,NA
28,{01294F1B-14F8-4D31-96E8-DDBD6F7715CE},2026-02-07T18:12:07Z,rmcrowle@ucsc.edu_UCSC,Nose cut,NA,47.61,5.35,2.89,32.69,25.66,25.02,43.6,8,6,15,9,43,212,105,Reproductive,Female,Adult,67,85,He,Di,129,No,No,NA,2026-02-07T18:05:30Z,NA,NA,NA,NA,NA
29,{DF8EDB51-8D7D-45EE-805C-EDB253469A4E},2026-02-07T16:32:46Z,jotmille_UCSC,Tail chopped off at the end untagged,NA,45.88,4.49,2.23,34.03,23.28,24.65,39.98,8,7,15,17,43,154,104,Reproductive,Male,NA,NA,85,NA,NA,NA,No,No,NA,2026-02-07T16:32:50Z,NA,NA,NA,NA,NA
30,{47F0234B-605E-437B-9FBA-310904CDDD09},2026-02-08T16:06:21Z,jotmille_UCSC,Recap from yesterday,718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,98,HE,DI,NA,Yes,No,NA,2026-02-08T16:06:22Z,NA,NA,NA,NA,NA
31,{D0922FD7-3B85-4A85-9B72-7213E57847CB},2026-02-08T17:24:01Z,rmcrowle@ucsc.edu_UCSC,Nose caught on trap,NA,47.77,5.53,3.14,29.07,21.74,23.19,44.61,7,6,15,14,43,208,107,Non-Reproductive,Female,Adult,60,87,He,Di,829,No,No,NA,2026-02-08T17:16:46Z,NA,NA,NA,NA,NA
32,{ABBE6AAF-975F-4374-AA86-A139E40E6B00},2026-04-11T16:12:13Z,jotmille_UCSC,"Tag ripped out, taken data before, ear holes visible",NA,50.15,6.25,3.32,37.52,24.15,21.71,45.57,8,7,16,16,45,214,116,Non-Reproductive,Female,Adult,NA,110,Ve,Di,843,No,No,NA,2026-04-11T16:12:15Z,NA,NA,NA,NA,NA
33,{D13FE41B-772E-4C9E-A347-7EFCDC87A5D8},2026-04-11T16:27:19Z,jotmille_UCSC,NA,NA,48.21,4.78,3.10,35.19,24.91,23.6,46.98,9,7,17,15,45,209,113,Non-Reproductive,Female,Adult,97,110,Ve,Di,825,Yes,No,NA,2026-04-11T16:27:22Z,NA,NA,NA,NA,NA
34,{AB1330A2-A56C-48E7-BADA-9D9970CF91D7},2026-04-11T17:06:38Z,jotmille_UCSC,NA,NA,50.59,5.62,3.7,36.72,24.6,21.61,46.28,11,6,19,15,44,240,103,Lactating,Female,Adult,87,100,Ve,Di,948,No,No,NA,2026-04-11T17:06:51Z,NA,NA,NA,NA,NA
35,{2D57EB4E-0D4C-43AA-83A1-8573FA457416},2026-04-12T15:43:53Z,jotmille_UCSC,Tagged before,NA,52.48,4.93,2.99,33.63,22.44,23.05,45.93,9,6,16,15,43,230,103,Non-Reproductive,Female,Adult,88,105,Ve,Di,837,No,No,NA,2026-04-12T15:44:01Z,NA,NA,NA,NA,NA
36,{E72E6B21-91D8-420D-9300-779712C913CF},2026-06-23T13:37:48Z,rmcrowle@ucsc.edu_UCSC,NA,NA,46.38,5.61,2.99,36.27,24.28,NA,45.61,10,6,19,11,42,226,101,Non-Reproductive,Female,Adult,79,95,Ve,Di,"No tag, ABC for footstamp",No,No,HASTINGS,2026-06-23T13:38:10Z,NA,NA,NA,NA,NA
37,{139FEF84-4817-43C9-879A-83F6458EFD94},2026-06-23T13:46:36Z,rmcrowle@ucsc.edu_UCSC,NA,NA,51.31,5.86,3.47,36.14,20.41,18.99,48.57,10,6,19,16,45,227,102,Reproductive,Female,Adult,94,110,Ve,Di,839,No,No,HASTINGS,2026-06-23T13:46:38Z,NA,NA,NA,NA,NA
38,{67084CC5-16A5-4D8F-8E1D-ED9FCE2E4BE8},2026-06-23T14:03:13Z,rmcrowle@ucsc.edu_UCSC,Subadult,NA,47.17,5.39,3.12,35.90,23.82,18.45,45.3,9,5,16,15,43,222,109,Non-Reproductive,Female,Adult,64,80,Ve,Di,B135,No,No,HASTINGS,2026-06-23T14:03:15Z,NA,NA,NA,NA,NA
39,{125A0CDF-67C1-44A4-81A7-8D8CAF5E89E1},2026-06-23T14:34:13Z,rmcrowle@ucsc.edu_UCSC,Nasty wound on base of belly near leg,NA,50.01,5.55,2.94,38.12,20.34,24.44,47.08,9,6,16,14,44,227,114,Non-Reproductive,Female,Adult,NA,100,Ve,Di,822,No,No,HASTINGS,2026-06-23T14:34:22Z,NA,NA,NA,NA,NA
40,{61C3BC4D-8FF6-4DEC-AAC7-A511707B73FC},2026-06-23T13:17:40Z,jotmille_UCSC,NA,NA,48.29,5.62,3.27,35.02,25.53,NA,48.88,8,7,18,11,41,217,120,Unknown,Female,Adult,15,115,Ve,De,843,No,No,HASTINGS,2026-06-23T13:17:59Z,NA,NA,NA,NA,NA
41,{29591CCE-E141-4418-A3FF-522190C09DAA},2026-06-24T13:56:31Z,jotmille_UCSC,Recap,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ve,Di,135,No,No,HASTINGS,2026-06-24T13:56:39Z,NA,NA,NA,NA,NA
42,{7CA947C7-0CD9-4FEE-825B-7F823332F36B},2026-06-24T13:31:07Z,rmcrowle@ucsc.edu_UCSC,Mightve sewn yesterday didn't tag. Has blue feet when we caught it that's why we think it was the untagged from the day before,NA,49.41,5.70,3.47,40.68,22.25,NA,45.41,9,6,17,15,44,228,111,Non-Reproductive,Female,Adult,77,92,Ve,Di,824,No,No,HASTINGS,2026-06-24T13:31:09Z,NA,NA,NA,NA,NA
43,{C2AE4215-8190-451B-9388-E5C09B0D9211},2026-06-24T14:04:59Z,rmcrowle@ucsc.edu_UCSC,"Escaped right out of the trap, saw that it was tagged but couldn't read it",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ve,Di,NA,No,No,NA,2026-06-24T14:05:00Z,NA,NA,NA,NA,NA
44,{77B87A6B-F845-413D-97EB-B424CCBBF57B},2026-06-25T13:18:51Z,rmcrowle@ucsc.edu_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adult,54,95,He,Di,843,Yes,No,HASTINGS,2026-06-25T13:18:52Z,NA,NA,NA,NA,NA
45,{AF5C69E9-A8EA-48A2-B23A-3DD46D316C78},2026-06-25T13:30:48Z,rmcrowle@ucsc.edu_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224,101,NA,NA,Adult,NA,92,Ve,Di,839,Yes,No,HASTINGS,2026-06-25T13:30:49Z,NA,NA,NA,NA,NA
46,{EDF9FF79-68A6-487C-8F11-CD073F16BA30},2026-06-25T14:21:58Z,rmcrowle@ucsc.edu_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adult,NA,NA,Ve,Di,135,Yes,No,NA,2026-06-25T14:21:59Z,NA,NA,NA,NA,NA
5,{FEB74BF2-0B74-42AD-B6D5-9F09D9F4F6B8},2025-06-22T13:16:28Z,jotmille_UCSC,NA,NA,NA,NA,1.86,1,NA,37.73,45.35,NA,NA,18,NA,48,230,108,NA,NA,NA,83,NA,NA,Di,NA,NA,yes,Hastings,2025-06-22T13:08:06Z,36.38159445016123,-121.5428961424813,Released before tagging,NA,NA
6,{C49E51CE-1C75-4A5F-8528-AF20F7F4AE0E},2025-06-22T13:32:05Z,jotmille_UCSC,Forelomb length 32.02,NA,NA,NA,2.33,NA,NA,28.58,45.44,NA,NA,19,NA,45,249,103,Unknown,Female,Adult,NA,NA,NA,Di,748,NA,NA,Hastings,2025-06-22T13:20:10Z,36.38172758801286,-121.5429777995105,NA,NA,NA
8,{A88CF80E-8AE9-4F14-9A3D-3A058082F354},2025-06-22T14:18:18Z,jotmille_UCSC,Forelimb 34 l,NA,NA,NA,2.3,NA,NA,31.27,45.93,NA,NA,20,NA,44,222,97,Unknown,Female,NA,95,NA,NA,Di,102,NA,NA,Hastings,2025-06-22T14:03:35Z,NA,NA,NA,NA,NA
9,{5890F4A3-D106-4FD9-A82F-112A53FF3672},2025-06-22T14:40:30Z,jotmille_UCSC,Forelimb l 36.83 released before tagging and prints,NA,NA,NA,2.95,NA,NA,32.64,47.06,NA,7,19,NA,45,176,105,Unknown,Female,NA,107-,NA,NA,Di,Not tagged,NA,NA,Hastings,2025-06-22T14:33:09Z,NA,NA,NA,NA,NA
74,{C20A9398-35A6-48E9-AE2A-2DFFF20CA52D},2025-06-22T16:50:27Z,jotmille_UCSC,34.60,NA,NA,NA,3.58,NA,NA,30.6,41.76,NA,7,17,NA,48,178,88,NA,Female,Adult,NA,NA,NA,Di,108,NA,NA,Hastings,2025-06-22T16:39:34Z,36.38459357026601,-121.5493462510923,NA,NA,NA
79,{10BF9F13-01B5-49BB-B553-A68EFAD124FE},2025-07-12T15:31:38Z,jotmille_UCSC,Tissue 17,NA,48,NA,3.37,Forelimb length 34.87,NA,34.5,42,9,8,16,13,42,185,101,NA,Female,Adult,65,NA,He,Di,101,NA,NA,FONR,2025-07-12T15:18:27Z,36.68743170695581,-121.7795967950974,NA,NA,NA
85,{16E7C340-4355-4874-8791-F7EF2761148F},2025-07-12T16:14:24Z,jotmille_UCSC,Tissue 15,NA,46.68,NA,3.23,Length 31.44,NA,32.22,43.35,7,8,14,NA,40,197,96,NA,Female,Adult,75,NA,He,Di,110,NA,NA,FONR,2025-07-12T16:04:41Z,36.6783160950658,-121.767693887495,NA,NA,NA
93,{76E00EAD-2023-4012-B853-FFA25979B897},2025-07-12T17:16:45Z,jotmille_UCSC,Tissue 16,NA,48,NA,3.13,Length 31.30,NA,29.56,43.66,8,6,15,12,43,200,99,Unknown,Male,NA,66,NA,He,Di,103,NA,NA,FONR,2025-07-12T17:08:45Z,36.66717448403249,-121.7661910349067,NA,NA,NA
97,{334CEBBF-60A1-411A-9C22-4DA9081D7352},2025-07-12T17:45:37Z,jotmille_UCSC,Tissue 9,NA,44.84,NA,3.14,Length 32.11,NA,27.07,NA,8.5,6,16,12,42,188,118,Lactating,Female,Adult,82,NA,He,Di,109,NA,NA,FONR,2025-07-12T17:33:18Z,36.66295344328213,-121.7529567346325,NA,NA,NA
99,{C2335301-C703-461F-B05F-E33666370ADE},2025-07-12T18:05:12Z,jotmille_UCSC,Tissue sample 5,NA,48.07,NA,3.08,Length: 30.16,NA,31.01,39.77,8,6,15,14,39,182,110,Reproductive,Male,Adult,79,NA,HE,Di,407,yes,yes,FONR,2025-07-12T17:50:15Z,36.66260613394979,-121.7528231708857,Part of ear missing,39,NA
100,{196AB800-A8A8-4B37-8678-00BB397A9503},2025-07-12T18:14:49Z,jotmille_UCSC,Tissue sample 10,NA,45.45,NA,30.37,Length: 35.36,NA,30.23,40.51,9,7,125,14,48,184,98,Not Reproductive,Female,Adult,68,NA,HE,Di,12,no,yes,FONR,2025-07-12T18:07:12Z,36.6628205711277,-121.7529705770998,NA,NA,NA
101,{6F0F6D7F-602B-4E6F-AA6E-FF766631715D},2025-07-13T15:14:24Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,He,Di,NA,NA,NA,FONR,2025-07-13T15:13:52Z,36.6663062004607,-121.765587925861,Let go before data collection,NA,NA
110,{D057E7A0-9BBE-4702-8D7D-A30BA7E35088},2025-07-13T17:13:51Z,jotmille_UCSC,Tissue 18,NA,43.84,NA,3,Length 32.28,NA,26.57,42.27,8,7,17,17,39,200,97,NA,Female,Adult,70,NA,He,Di,106,NA,NA,FONR,2025-07-13T17:06:29Z,36.6779561963803,-121.7677343546871,NA,NA,NA
111,{495AC32D-A469-4AB6-8807-42D0445377FB},2025-07-13T17:45:09Z,jotmille_UCSC,Tissue 1,NA,46.85,NA,3.16,Forelimb length 31.34,NA,26.2,44.78,8,7,15,14,40,196,105,NA,Female,Adult,77,NA,He,Di,124,NA,NA,FONR,2025-07-13T17:36:55Z,36.68769905557998,-121.7803546757064,NA,NA,NA
119,{2FD6F21D-BAD6-4DAB-8C82-679B58CE154E},2025-07-13T15:55:16Z,fonr_intern_UCSC,Tissue 4,NA,46.17,NA,2.68,Length 42.54,NA,28.65,43.87,8,8,17,15,45,189,96,Reproductive,Female,Adult,85,NA,HE,Di,112,no,yes,FONR,2025-07-13T15:41:44Z,36.66330780837386,-121.7534648628177,NA,NA,NA
120,{09964AF5-0BEA-44F6-B7D8-3841FAC75F16},2025-07-13T16:01:06Z,fonr_intern_UCSC,Tissue 8,NA,48.91,NA,3.84,Length 31.19,NA,26.47,41.02,8,7,17,13,41,206,114,Not Reproductive,Male,Adult,75,NA,HE,Di,113,no,yes,FONR,2025-07-13T15:55:25Z,36.66300672431274,-121.7531358728006,NA,NA,NA
121,{F1100A79-8394-483B-8095-250519A2B38E},2025-07-13T16:15:48Z,fonr_intern_UCSC,Tissue 3,NA,45.12,NA,3.67,Length 28.33,NA,34.51,45.44,8,6,16,8,41,207,110,Lactating,Female,Adult,85,NA,HE,Di,114,no,yes,FONR,2025-07-13T16:05:41Z,36.66300317382354,-121.7531323969342,NA,NA,NA
135,{915BB543-8BDE-4434-8FB6-ABC990AB20B6},2025-09-28T15:09:04Z,jotmille_UCSC,Let go on accident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,191,105,NA,NA,NA,77,NA,He,Di,NA,NA,yes,FONR,2025-09-28T14:57:10Z,36.68559358077792,-121.775950375507,NA,NA,NA
136,{0DC47928-75E9-412F-9E46-B45E2161492D},2025-09-28T15:18:34Z,jotmille_UCSC,2nd head width 19.62 tissue # RC2025-21,NA,47.52,4.76,2.6,NA,NA,27.54,42.95,6,6,16,9,41,195,106,NA,NA,NA,NA,NA,He,Di,123,NA,yes,FONR,2025-09-28T15:09:23Z,NA,NA,Forelimb length 30.84,NA,NA
142,{42EEBEAE-9B89-4ED0-9180-EA58D503090A},2025-09-28T16:41:05Z,jotmille_UCSC,"Head width 2: 17.93
Forelimb length: 32.38
Vial: RC2025-27 Tissue",NA,47.36,5.13,2.68,NA,NA,26.5,44.2,8,7,16,15,NA,196,100,Reproductive,Female,Adult,77,NA,He,Di,121,no,yes,FONR,2025-09-28T16:28:34Z,36.68749936277649,-121.780527454756,NA,40,NA
147,{AFB84D82-EE41-4BA0-91A3-279B999B40F5},2025-10-18T14:22:00Z,rmcrowle@ucsc.edu_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,199,106,NA,NA,Adult,96 -,NA,HE,DI,718,yes,yes,FONR,2025-10-18T14:16:40Z,36.6855436,-121.7759445166667,NA,42,NA
153,{396C14E3-E92E-4903-8A8E-6ABA33E006EC},2025-10-18T14:38:59Z,rmcrowle@ucsc.edu_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,He,Di,123,yes,yes,FONR,2025-10-18T14:37:41Z,36.68595688333333,-121.7756732833333,NA,NA,NA
155,{C0D1B3B4-432C-41EC-8C49-174B5806A752},2025-10-18T15:19:15Z,rmcrowle@ucsc.edu_UCSC,"Forelimb length: 35.68
Head Width pm: 25.56
Tissue sample: 6
Nose bleeding",NA,NA,5.46,NA,3.98,18.7,NA,44.01,9,7,16,15,43,203,110,Not Reproductive,Female,Adult,85 -,NA,He,Di,120,no,yes,FONR,2025-10-18T15:07:05Z,36.66313093333333,-121.7534262166667,NA,NA,NA
156,{C89EDF0C-171A-4089-BA7C-E7B634E789E2},2025-10-18T15:34:47Z,rmcrowle@ucsc.edu_UCSC,"Missing 1 toe on front right hand
Forelimb length: 37.76mm
Head Width B: 18.28mm
Head Width pm: 26.05mm
Tissue #: 1",NA,48.51,4.78,NA,3.01,NA,NA,36.11,7,6,16,13,NA,180,107,Unknown,Male,Adult,88 - 18,NA,He,Di,407,yes,yes,FONR,2025-10-18T15:21:48Z,36.66312946666667,-121.7533687166666,NA,38,NA
161,{526E9DB6-9478-4173-8C63-96C6660DD3D9},2025-10-18T16:04:38Z,rmcrowle@ucsc.edu_UCSC,"Forelimb length: 32.97mm
Head Width pm: 22.74
Head Width b: 23.48
",NA,47.56,4.85,2.5,NA,NA,NA,41.49,8,7,17,15,NA,199,110,Reproductive,Female,Adult,82 - 19,NA,He,Di,115,no,yes,FONR,2025-10-18T15:52:51Z,36.66267143333333,-121.7528715666667,NA,42,NA
162,{8811F861-4BFE-492A-9032-F86B7FA72746},2025-10-18T16:13:51Z,rmcrowle@ucsc.edu_UCSC,"Head Width pm: 25.93mm
Head Width b: 23.68mm
Forelimb length: 28.32mm
Sample #: 11",NA,46.05,4.93,2.56,NA,NA,NA,43.72,8,7,17,15,NA,197,98,NA,NA,NA,91 -27,NA,He,Di,119,no,yes,FONR,2025-10-18T16:09:06Z,36.66259986666667,-121.7528449166667,NA,42,NA
164,{EB3440E3-55CA-43C1-9E35-9259CD5ABEAF},2025-10-18T16:31:20Z,rmcrowle@ucsc.edu_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,44,188,115,NA,NA,NA,NA,NA,He,Di,111,yes,yes,FONR,2025-10-18T16:28:10Z,36.66637428333333,-121.7656266,NA,NA,NA
